,Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,RSI_16
664,664,5/30/2025 5:00,3294.22,3295.3,3291.71,3295.22,158,-0.000273123,0.000488586,0.0050376,0.006627782,0.006385006,range,85.0,-1.0,-1.0,1.0,30.590405903155713
665,665,5/30/2025 6:00,3295.7,3304.31,3290.24,3303.69,157,-0.0025638,-0.002836223,0.001785882,0.00404699,0.002954272,downward,92.0,-1.0,-1.0,1.0,41.847644502723966
666,666,5/30/2025 7:00,3303.42,3303.42,3290.75,3300.57,154,0.000945291,-0.001620932,-0.001133138,0.003999309,0.002929797,downward,,,,,41.91065751937363
667,667,5/30/2025 8:00,3300.16,3300.64,3288.77,3294.88,150,0.001726922,0.002673845,-0.000169961,0.006151969,0.008076167,range,92.0,-1.0,1.0,1.0,25.456557829907524
668,668,5/30/2025 9:00,3294.62,3298.95,3292.43,3295.66,156,-0.000236675,0.001489838,-0.000133509,0.004903418,0.008040878,range,,,,,25.607511044900974
669,669,5/30/2025 10:00,3295.4,3298.67,3293.28,3295.39,156,8.19e-05,-0.000154762,0.00251867,0.00430905,0.008724309,range,,,,,22.676297281195758
670,670,5/30/2025 11:00,3295.16,3300.11,3292.52,3295.17,155,6.68e-05,0.000148702,0.001638762,0.000503768,0.007914614,range,92.0,-1.0,-1.0,-1.0,23.888666398914125
671,671,5/30/2025 12:00,3295.25,3296.84,3288.4,3293.84,157,0.000403784,0.000470575,0.000315741,0.000145727,0.006928084,range,93.0,1.0,-1.0,-1.0,25.556983718061446
672,672,5/30/2025 13:00,3294.13,3305.86,3287.28,3304.31,147,-0.003168589,-0.002766084,-0.002617793,-0.002750953,0.003858597,downward,92.0,,,,38.76651982269539
673,673,5/30/2025 14:00,3303.7,3307.9,3275.88,3278.49,154,0.007875577,0.004682033,0.005154812,0.007686465,0.011764562,upward,88.0,1.0,-1.0,1.0,26.644059585289384
674,674,5/30/2025 15:00,3276.66,3286.82,3271.85,3281.72,155,-0.00098424,0.006883585,0.004098461,0.005743939,0.00976622,upward,91.0,1.0,-1.0,1.0,30.578111743437802
675,675,5/30/2025 16:00,3282.15,3292.52,3276.82,3288.71,152,-0.002125453,-0.003107601,0.001559882,0.001876116,0.008039626,upward,94.0,-1.0,-1.0,1.0,34.99773036704485
676,676,5/30/2025 17:00,3287.57,3294.63,3284.44,3293.78,154,-0.001539265,-0.003661447,0.003196935,0.000570773,0.00547699,range,96.0,-1.0,-1.0,1.0,39.96216336452325
677,677,5/30/2025 18:00,3293.49,3294.43,3289.6,3290.91,157,0.000872099,-0.000668508,-0.003774032,0.001361326,0.005676242,range,96.0,-1.0,-1.0,1.0,39.679558010348046
678,678,5/30/2025 19:00,3291.18,3294.83,3290.9,3293.85,162,-0.000892573,-2.13e-05,-0.003682621,0.000400747,0.000904716,range,97.0,-1.0,-1.0,1.0,48.153197817587426
679,679,5/30/2025 20:00,3293.34,3294.61,3291.59,3294.61,160,-0.00023068,-0.001123046,-0.001790804,-0.000233715,-8.8e-05,range,97.0,-1.0,-1.0,1.0,50.18370708120745
680,680,5/30/2025 21:00,3294.43,3295.49,3288.41,3289.2,154,0.001644777,0.001413718,0.001392436,0.004593822,0.001830232,upward,97.0,-1.0,-1.0,1.0,46.392617448774885
681,681,6/1/2025 22:00,3289.08,3289.08,3288.45,3288.45,2,0.000228071,0.001873223,0.000748073,-0.003028783,0.004634402,upward,,,,,39.93660855700075
682,682,6/1/2025 23:00,3299.0,3313.93,3299.0,3311.92,134,-0.007086524,-0.006860069,-0.00545605,-0.009118578,-0.003427015,range,,,,,55.907151034771914
